"Date","Price","Open","High","Low","Vol.","Change %"
"08/14/2020","6,199.30","6,271.35","6,298.10","6,157.55","","-0.75%"
"08/13/2020","6,246.25","6,191.45","6,254.35","6,189.95","","1.46%"
"08/12/2020","6,156.65","6,145.55","6,169.80","6,120.85","","0.04%"
"08/11/2020","6,154.30","6,212.40","6,222.30","6,148.60","","-0.36%"
"08/10/2020","6,176.55","6,161.80","6,193.10","6,154.40","","1.21%"
"08/07/2020","6,102.65","6,051.55","6,112.90","6,043.85","","1.26%"
"08/06/2020","6,026.65","5,987.50","6,032.35","5,980.85","","1.12%"
"08/05/2020","5,960.15","5,973.40","6,004.85","5,947.75","","0.52%"
"08/04/2020","5,929.50","5,903.95","5,940.50","5,888.40","","1.01%"
"08/03/2020","5,870.40","5,877.55","5,912.60","5,865.05","","0.06%"
"07/31/2020","5,866.70","5,852.70","5,876.55","5,821.45","","0.51%"
"07/30/2020","5,837.00","5,906.35","5,915.55","5,826.70","","-0.75%"
"07/29/2020","5,881.05","5,875.65","5,923.65","5,863.15","","0.44%"
"07/28/2020","5,855.45","5,826.70","5,862.10","5,824.40","","0.73%"
"07/27/2020","5,812.80","5,896.85","5,903.10","5,805.50","","-1.13%"
"07/24/2020","5,879.35","5,871.55","5,892.95","5,837.15","","-0.22%"
"07/23/2020","5,892.50","5,866.40","5,904.60","5,861.20","","0.70%"
"07/22/2020","5,851.60","5,869.15","5,891.25","5,820.90","","-0.03%"
"07/21/2020","5,853.40","5,896.15","5,901.75","5,848.45","","0.14%"
"07/20/2020","5,845.10","5,819.40","5,859.30","5,817.40","","0.93%"
"07/17/2020","5,791.25","5,745.20","5,798.05","5,742.80","","1.16%"
"07/16/2020","5,724.85","5,725.35","5,730.50","5,642.10","","0.40%"
"07/15/2020","5,702.30","5,759.95","5,780.75","5,690.45","","-0.34%"
"07/14/2020","5,721.95","5,772.85","5,775.00","5,690.25","","-1.09%"
"07/13/2020","5,785.25","5,839.30","5,852.60","5,773.55","","-0.20%"
"07/10/2020","5,796.75","5,820.70","5,850.20","5,763.05","","-0.67%"
"07/09/2020","5,835.75","5,848.95","5,860.00","5,819.10","","0.17%"
"07/08/2020","5,826.05","5,884.35","5,900.70","5,814.50","","-0.57%"
"07/07/2020","5,859.55","5,846.90","5,866.25","5,802.35","","0.51%"
"07/06/2020","5,829.95","5,781.75","5,835.00","5,774.05","","1.58%"
"07/03/2020","5,739.35","5,739.90","5,755.05","5,706.35","","0.67%"
"07/02/2020","5,701.25","5,671.25","5,711.10","5,666.20","","1.08%"
"07/01/2020","5,640.35","5,632.20","5,648.55","5,602.30","","0.25%"
"06/30/2020","5,626.20","5,680.60","5,692.45","5,612.35","","-0.29%"
"06/29/2020","5,642.60","5,714.00","5,714.00","5,619.20","","-1.46%"
"06/26/2020","5,726.45","5,763.00","5,779.40","5,720.00","","0.08%"
"06/25/2020","5,721.95","5,632.30","5,725.95","5,604.20","","0.95%"
"06/24/2020","5,667.95","5,780.35","5,786.50","5,652.80","","-1.09%"
"06/23/2020","5,730.25","5,685.60","5,735.50","5,653.60","","1.61%"
"06/22/2020","5,639.55","5,605.55","5,654.50","5,600.90","","1.55%"
"06/19/2020","5,553.35","5,516.95","5,554.85","5,498.35","","1.27%"
"06/18/2020","5,483.80","5,423.00","5,488.65","5,416.30","","1.21%"
"06/17/2020","5,418.05","5,391.55","5,445.10","5,383.00","","0.34%"
"06/16/2020","5,399.55","5,458.35","5,467.20","5,320.50","","0.56%"
"06/15/2020","5,369.45","5,434.35","5,466.55","5,360.00","","-1.04%"
"06/12/2020","5,426.05","5,165.60","5,435.70","5,165.35","","0.94%"
"06/11/2020","5,375.75","5,456.15","5,494.65","5,368.65","","-1.25%"
"06/10/2020","5,443.85","5,404.90","5,451.65","5,385.05","","1.11%"
"06/09/2020","5,384.15","5,452.55","5,473.20","5,364.35","","-0.48%"
"06/08/2020","5,409.85","5,464.45","5,476.90","5,392.25","","0.45%"
