"Index Name","Date","Open","High","Low","Close"
"NIFTY TOTAL MARKET","12 Feb 2021","-","-","-","6918.10"
"NIFTY TOTAL MARKET","11 Feb 2021","-","-","-","6920.80"
"NIFTY TOTAL MARKET","10 Feb 2021","-","-","-","6886.00"
"NIFTY TOTAL MARKET","09 Feb 2021","-","-","-","6875.71"
"NIFTY TOTAL MARKET","08 Feb 2021","-","-","-","6879.94"
"NIFTY TOTAL MARKET","05 Feb 2021","-","-","-","6790.70"
"NIFTY TOTAL MARKET","04 Feb 2021","-","-","-","6793.81"
"NIFTY TOTAL MARKET","03 Feb 2021","-","-","-","6731.39"
"NIFTY TOTAL MARKET","02 Feb 2021","-","-","-","6664.07"
"NIFTY TOTAL MARKET","01 Feb 2021","-","-","-","6508.56"
"NIFTY TOTAL MARKET","29 Jan 2021","-","-","-","6252.08"
"NIFTY TOTAL MARKET","28 Jan 2021","-","-","-","6328.53"
"NIFTY TOTAL MARKET","27 Jan 2021","-","-","-","6384.33"
"NIFTY TOTAL MARKET","25 Jan 2021","-","-","-","6492.40"
"NIFTY TOTAL MARKET","22 Jan 2021","-","-","-","6554.05"
"NIFTY TOTAL MARKET","21 Jan 2021","-","-","-","6643.33"
"NIFTY TOTAL MARKET","20 Jan 2021","-","-","-","6678.34"
"NIFTY TOTAL MARKET","19 Jan 2021","-","-","-","6624.80"
"NIFTY TOTAL MARKET","18 Jan 2021","-","-","-","6511.38"
"NIFTY TOTAL MARKET","15 Jan 2021","-","-","-","6597.99"
"NIFTY TOTAL MARKET","14 Jan 2021","-","-","-","6673.75"
"NIFTY TOTAL MARKET","13 Jan 2021","-","-","-","6658.30"
"NIFTY TOTAL MARKET","12 Jan 2021","-","-","-","6668.52"
"NIFTY TOTAL MARKET","11 Jan 2021","-","-","-","6639.57"
"NIFTY TOTAL MARKET","08 Jan 2021","-","-","-","6595.95"
"NIFTY TOTAL MARKET","07 Jan 2021","-","-","-","6508.66"
"NIFTY TOTAL MARKET","06 Jan 2021","-","-","-","6492.27"
"NIFTY TOTAL MARKET","05 Jan 2021","-","-","-","6507.95"
"NIFTY TOTAL MARKET","04 Jan 2021","-","-","-","6466.39"
"NIFTY TOTAL MARKET","01 Jan 2021","-","-","-","6401.25"
"NIFTY TOTAL MARKET","31 Dec 2020","-","-","-","6369.58"
"NIFTY TOTAL MARKET","30 Dec 2020","-","-","-","6364.53"
"NIFTY TOTAL MARKET","29 Dec 2020","-","-","-","6341.09"
"NIFTY TOTAL MARKET","28 Dec 2020","-","-","-","6322.41"
"NIFTY TOTAL MARKET","24 Dec 2020","-","-","-","6260.75"
"NIFTY TOTAL MARKET","23 Dec 2020","-","-","-","6206.07"
"NIFTY TOTAL MARKET","22 Dec 2020","-","-","-","6120.82"
"NIFTY TOTAL MARKET","21 Dec 2020","-","-","-","6059.42"
"NIFTY TOTAL MARKET","18 Dec 2020","-","-","-","6277.68"
"NIFTY TOTAL MARKET","17 Dec 2020","-","-","-","6273.74"
"NIFTY TOTAL MARKET","16 Dec 2020","-","-","-","6260.05"
"NIFTY TOTAL MARKET","15 Dec 2020","-","-","-","6207.21"
"NIFTY TOTAL MARKET","14 Dec 2020","-","-","-","6202.39"
"NIFTY TOTAL MARKET","11 Dec 2020","-","-","-","6177.53"
"NIFTY TOTAL MARKET","10 Dec 2020","-","-","-","6160.35"
"NIFTY TOTAL MARKET","09 Dec 2020","-","-","-","6182.13"
"NIFTY TOTAL MARKET","08 Dec 2020","-","-","-","6130.78"
"NIFTY TOTAL MARKET","07 Dec 2020","-","-","-","6120.95"
"NIFTY TOTAL MARKET","04 Dec 2020","-","-","-","6068.61"
"NIFTY TOTAL MARKET","03 Dec 2020","-","-","-","6021.68"
"NIFTY TOTAL MARKET","02 Dec 2020","-","-","-","6000.66"
"NIFTY TOTAL MARKET","01 Dec 2020","-","-","-","5987.34"
"NIFTY TOTAL MARKET","27 Nov 2020","-","-","-","5922.42"
"NIFTY TOTAL MARKET","26 Nov 2020","-","-","-","5897.29"
"NIFTY TOTAL MARKET","25 Nov 2020","-","-","-","5842.11"
"NIFTY TOTAL MARKET","24 Nov 2020","-","-","-","5928.83"
"NIFTY TOTAL MARKET","23 Nov 2020","-","-","-","5875.24"
"NIFTY TOTAL MARKET","20 Nov 2020","-","-","-","5833.47"
"NIFTY TOTAL MARKET","19 Nov 2020","-","-","-","5787.68"
"NIFTY TOTAL MARKET","18 Nov 2020","-","-","-","5848.04"
"NIFTY TOTAL MARKET","17 Nov 2020","-","-","-","5812.11"
"NIFTY TOTAL MARKET","14 Nov 2020","-","-","-","5765.64"
"NIFTY TOTAL MARKET","13 Nov 2020","-","-","-","5735.50"
"NIFTY TOTAL MARKET","12 Nov 2020","-","-","-","5710.27"
"NIFTY TOTAL MARKET","11 Nov 2020","-","-","-","5716.76"
"NIFTY TOTAL MARKET","10 Nov 2020","-","-","-","5668.66"
"NIFTY TOTAL MARKET","09 Nov 2020","-","-","-","5618.91"
"NIFTY TOTAL MARKET","06 Nov 2020","-","-","-","5540.84"
"NIFTY TOTAL MARKET","05 Nov 2020","-","-","-","5487.04"
"NIFTY TOTAL MARKET","04 Nov 2020","-","-","-","5392.93"
"NIFTY TOTAL MARKET","03 Nov 2020","-","-","-","5355.61"
