"Date","Price","Open","High","Low","Vol.","Change %"
"09-02-2009","3,594.44","3,594.44","3,594.44","3,594.44","","2.70%"
"06-02-2009","3,499.89","3,499.89","3,499.89","3,499.89","","2.27%"
"05-02-2009","3,422.28","3,422.28","3,422.28","3,422.28","","-0.82%"
"04-02-2009","3,450.60","3,450.60","3,450.60","3,450.60","","0.70%"
"03-02-2009","3,426.68","3,426.68","3,426.68","3,426.68","","0.62%"
"02-02-2009","3,405.45","3,405.45","3,405.45","3,405.45","","-3.76%"
"30-01-2009","3,538.57","3,538.57","3,538.57","3,538.57","","1.85%"
"29-01-2009","3,474.27","3,474.27","3,474.27","3,474.27","","-0.79%"
"28-01-2009","3,502.03","3,502.03","3,502.03","3,502.03","","2.84%"
"27-01-2009","3,405.28","3,405.28","3,405.28","3,405.28","","3.46%"
"23-01-2009","3,291.24","3,291.24","3,291.24","3,291.24","","-1.30%"
"22-01-2009","3,334.55","3,334.55","3,334.55","3,334.55","","0.28%"
"21-01-2009","3,325.17","3,325.17","3,325.17","3,325.17","","-3.23%"
"20-01-2009","3,436.31","3,436.31","3,436.31","3,436.31","","-1.74%"
"19-01-2009","3,497.27","3,497.27","3,497.27","3,497.27","","0.63%"
"16-01-2009","3,475.45","3,475.45","3,475.45","3,475.45","","3.35%"
"15-01-2009","3,362.74","3,362.74","3,362.74","3,362.74","","-3.48%"
"14-01-2009","3,483.84","3,483.84","3,483.84","3,483.84","","3.30%"
"13-01-2009","3,372.70","3,372.70","3,372.70","3,372.70","","-1.02%"
"12-01-2009","3,407.29","3,407.29","3,407.29","3,407.29","","-3.48%"
"09-01-2009","3,530.00","3,530.00","3,530.00","3,530.00","","-1.62%"
"07-01-2009","3,588.27","3,588.27","3,588.27","3,588.27","","-6.18%"
"06-01-2009","3,824.63","3,824.63","3,824.63","3,824.63","","-0.28%"
"05-01-2009","3,835.29","3,835.29","3,835.29","3,835.29","","2.45%"
"02-01-2009","3,743.48","3,743.48","3,743.48","3,743.48","","0.44%"
"01-01-2009","3,727.18","3,727.18","3,727.18","3,727.18","","2.51%"
"31-12-2008","3,635.87","3,635.87","3,635.87","3,635.87","","-0.68%"
"30-12-2008","3,660.89","3,660.89","3,660.89","3,660.89","","1.96%"
"29-12-2008","3,590.46","3,590.46","3,590.46","3,590.46","","2.27%"
"26-12-2008","3,510.64","3,510.64","3,510.64","3,510.64","","-2.04%"
